hh_ha,pers_ha,pt_dis,station_dis,lat,lng
8,10,55,1725,47.3631,8.53425
53,100,50,1700,47.3634,8.53425
8,10,75,1770,47.3627,8.53457
8,10,55,1745,47.3629,8.53457
8,10,35,1720,47.3631,8.53458
53,100,25,1695,47.3634,8.53458
0,0,75,1765,47.3627,8.5349
0,0,50,1740,47.3629,8.5349
0,0,25,1715,47.3631,8.53491
4,13,0,1690,47.3634,8.53491
0,0,55,1735,47.3629,8.53524
0,0,35,1710,47.3631,8.53524
4,13,25,1685,47.3633,8.53524
0,0,55,1705,47.3631,8.53557
0,0,75,1700,47.3631,8.5359
61,111,250,8555,47.3879,8.4278
61,111,235,8555,47.3882,8.42781
10,23,270,8530,47.3879,8.42813
38,83,35,6765,47.372,8.45101
38,83,25,6740,47.372,8.45134
26,76,0,6740,47.3722,8.45135
50,96,35,6715,47.372,8.45167
35,62,150,4290,47.4159,8.58801
14,31,125,4415,47.3809,8.59851
12,34,155,4435,47.3807,8.59884
12,34,130,4440,47.3809,8.59884
0,0,70,5350,47.3981,8.47568
0,0,105,5315,47.3979,8.47601
0,0,90,5325,47.3981,8.47601
0,0,75,5335,47.3983,8.47602
0,0,125,5295,47.3979,8.47634
0,0,110,5305,47.3981,8.47635
0,0,100,5315,47.3983,8.47635
0,0,100,5325,47.3985,8.47635
0,0,125,5290,47.3983,8.47668
0,0,130,5280,47.3981,8.47668
0,0,125,5300,47.3985,8.47669
49,125,325,3575,47.4076,8.55901
0,0,160,3765,47.4098,8.52229
3,5,55,3220,47.365,8.50218
3,5,70,3205,47.3652,8.50218
53,120,90,3195,47.3655,8.50219
53,120,105,3185,47.3657,8.50219
53,120,125,3175,47.3659,8.5022
3,5,55,3185,47.3652,8.50252
53,120,70,3175,47.3655,8.50252
0,0,290,5075,47.4198,8.51222
0,0,325,5055,47.4196,8.51255
0,0,315,5055,47.4198,8.51255
0,0,300,5040,47.42,8.51256
0,0,355,5020,47.4193,8.51287
0,0,345,5040,47.4196,8.51288
0,0,335,5040,47.4198,8.51288
0,0,315,5020,47.42,8.51289
0,0,350,5020,47.4198,8.51321
0,0,335,5005,47.42,8.51322
0,0,320,4985,47.4202,8.51322
0,0,355,4985,47.42,8.51355
0,0,340,4965,47.4202,8.51355
0,0,360,4950,47.4202,8.51389
111,215,305,1625,47.3705,8.55856
39,78,275,3815,47.4021,8.50391
59,105,245,4010,47.4035,8.50229
51,96,230,3995,47.4035,8.50262
81,145,125,3685,47.4058,8.56726
42,81,25,995,47.3819,8.55218
46,101,25,1025,47.3821,8.55252
20,70,70,2935,47.3638,8.50745
20,70,55,2925,47.3641,8.50746
66,140,150,755,47.3819,8.54854
66,140,155,775,47.3819,8.54887
112,246,125,2350,47.361,8.52196
112,246,125,2330,47.3612,8.52196
112,246,110,2335,47.361,8.52229
112,246,125,2315,47.3612,8.52229
112,246,100,2320,47.361,8.52262
112,246,125,2300,47.3612,8.52262
0,0,100,2305,47.361,8.52295
0,0,125,2285,47.3612,8.52296
35,63,165,4065,47.4044,8.50264
35,63,145,4045,47.4044,8.50297
58,109,75,4365,47.4054,8.58182
58,109,55,4380,47.4056,8.58183
31,156,90,4380,47.4054,8.58215
31,156,70,4400,47.4056,8.58216
39,78,275,3765,47.4021,8.50491
24,49,275,3745,47.4021,8.50524
34,66,175,4375,47.3744,8.48251
104,194,255,2740,47.4026,8.545
104,194,235,2745,47.4026,8.54533
79,155,220,2770,47.4028,8.54533
18,29,190,4760,47.3578,8.59569
18,29,200,4750,47.358,8.5957
18,29,180,4770,47.358,8.59603
47,141,100,4175,47.4105,8.56835
47,141,130,4165,47.4103,8.56868
47,141,125,4185,47.4105,8.56868
10,35,150,4200,47.4105,8.56901
116,322,230,1850,47.3782,8.51569
0,0,180,645,47.3767,8.53188
3,3,190,640,47.3769,8.53188
3,3,195,635,47.3771,8.53189
3,3,175,630,47.3773,8.53189
3,3,165,615,47.3769,8.53221
3,3,180,610,47.3771,8.53222
3,3,195,605,47.3773,8.53222
3,3,180,600,47.3775,8.53223
58,103,160,585,47.3771,8.53255
58,103,175,580,47.3773,8.53255
58,103,160,555,47.3773,8.53288
28,60,155,6005,47.4129,8.47928
28,60,155,6000,47.4131,8.47962
28,60,150,5980,47.4131,8.47995
111,267,125,5995,47.4133,8.47996
70,132,150,5960,47.4131,8.48028
59,131,125,5975,47.4133,8.48029
70,132,150,5940,47.4131,8.48061
72,137,235,2305,47.3943,8.52098
93,137,165,1885,47.3636,8.55312
22,44,55,8830,47.418,8.43896
28,80,25,8760,47.4175,8.43962
28,80,0,8775,47.4177,8.43962
28,80,25,8785,47.418,8.43963
14,30,415,8395,47.3872,8.42978
14,30,435,8370,47.3872,8.43011
46,88,160,6820,47.4081,8.4613
46,88,140,6835,47.4083,8.46131
0,0,265,8015,47.4107,8.44545
0,0,200,7960,47.41,8.44577
0,0,215,7970,47.4103,8.44578
0,0,230,7980,47.4105,8.44578
0,0,245,7990,47.4107,8.44578
20,35,250,8005,47.4109,8.44579
0,0,210,7960,47.4105,8.44611
0,0,225,7970,47.4107,8.44612
20,35,230,7980,47.4109,8.44612
27,54,230,9020,47.4191,8.437
27,54,225,9035,47.4193,8.437
27,54,230,9000,47.4191,8.43733
54,105,75,4225,47.4219,8.59941
54,92,90,4210,47.4221,8.59941
36,60,70,4225,47.4221,8.59974
36,60,90,4205,47.4223,8.59975
36,60,55,4240,47.4221,8.60007
36,60,75,4225,47.4223,8.60008
29,64,235,4560,47.4176,8.59865
0,0,200,3060,47.3668,8.50321
0,0,220,3050,47.367,8.50321
0,0,175,3050,47.3666,8.50354
0,0,200,3040,47.3668,8.50354
0,0,225,3030,47.367,8.50354
0,0,215,3020,47.3672,8.50355
0,0,195,3010,47.3675,8.50355
0,0,175,3000,47.3677,8.50356
0,0,180,3030,47.3666,8.50387
0,0,205,3015,47.3668,8.50387
0,0,230,3005,47.367,8.50388
0,0,230,2995,47.3672,8.50388
0,0,210,2985,47.3675,8.50388
0,0,195,2975,47.3677,8.50389
0,0,180,2965,47.3679,8.50389
0,0,210,2995,47.3668,8.5042
0,0,235,2985,47.367,8.50421
0,0,245,2975,47.3672,8.50421
7,26,220,2970,47.3668,8.50453
7,26,245,2960,47.367,8.50454
44,81,25,1890,47.3757,8.56496
44,81,35,1885,47.3759,8.56497
38,74,130,1420,47.3893,8.54936
20,50,225,4345,47.4161,8.52606
50,111,100,1530,47.3795,8.52002
50,111,125,1500,47.3792,8.52034
50,111,100,1505,47.3795,8.52035
73,212,75,1505,47.3797,8.52035
39,66,110,1480,47.3795,8.52068
6,10,90,1480,47.3797,8.52068
151,278,180,1205,47.3796,8.52432
50,106,125,3215,47.3967,8.50745
63,105,130,3195,47.3967,8.50778
28,71,230,4130,47.3847,8.48635
28,71,245,4130,47.3849,8.48635
31,56,275,4140,47.3854,8.48636
28,71,250,4105,47.3847,8.48668
28,71,265,4110,47.3849,8.48668
28,71,280,4110,47.3852,8.48669
31,56,275,4115,47.3854,8.48669
28,71,285,4085,47.3849,8.48702
28,71,290,4085,47.3852,8.48702
54,112,175,2355,47.3943,8.51999
54,112,160,2375,47.3945,8.51999
54,112,180,2355,47.3945,8.52032
46,64,180,2565,47.3613,8.517
45,88,150,2650,47.3639,8.56836
26,50,145,2515,47.3651,8.56739
26,50,160,2535,47.3651,8.56772
0,0,210,2900,47.4313,8.53598
0,0,235,2880,47.4315,8.53598
0,0,155,2920,47.4308,8.5363
0,0,180,2900,47.431,8.53631
0,0,205,2885,47.4313,8.53631
10,20,125,2925,47.4306,8.53663
0,0,150,2905,47.4308,8.53663
0,0,175,2885,47.431,8.53664
60,109,175,1320,47.3686,8.55058
65,125,175,2270,47.3954,8.52398
21,43,150,1450,47.3759,8.52127
73,118,175,1445,47.3761,8.52127
21,43,155,1425,47.3758,8.5216
73,118,180,1420,47.3761,8.5216
73,118,205,1415,47.3763,8.52161
73,118,220,1410,47.3765,8.52161
77,121,145,1405,47.3756,8.52192
77,121,165,1400,47.3758,8.52193
218,407,190,1395,47.3761,8.52193
218,407,210,1390,47.3763,8.52194
218,407,200,1370,47.3761,8.52226
218,407,220,1365,47.3763,8.52227
90,208,200,4265,47.4031,8.5831
79,170,195,4270,47.4029,8.58342
79,170,215,4285,47.4031,8.58343
63,127,55,1075,47.3873,8.54468
63,127,70,1080,47.3873,8.54501
97,219,155,2060,47.3662,8.56112
97,219,165,2045,47.3665,8.56113
47,94,165,4250,47.4154,8.52737
79,144,125,1355,47.3901,8.53646
129,252,100,1380,47.3903,8.53646
129,252,75,1405,47.3905,8.53647
129,252,55,1430,47.3908,8.53647
129,252,35,1455,47.391,8.53648
30,60,25,1480,47.3912,8.53648
109,213,90,1400,47.3905,8.5368
109,213,70,1425,47.3908,8.5368
109,213,125,1370,47.3903,8.53712
109,213,105,1395,47.3905,8.53713
0,0,175,5725,47.3939,8.46798
0,0,205,5690,47.3937,8.46831
0,0,180,5700,47.3939,8.46832
0,0,155,5705,47.3941,8.46832
0,0,190,5675,47.3939,8.46865
0,0,165,5685,47.3941,8.46865
77,134,150,4355,47.3899,8.48513
77,134,150,4365,47.3901,8.48513
77,134,125,4340,47.3901,8.48546
77,134,125,4345,47.3903,8.48547
23,53,75,9580,47.419,8.42838
7,19,100,9590,47.4192,8.42838
7,19,125,9605,47.4194,8.42839
13,40,50,9545,47.4187,8.42871
13,40,75,9560,47.419,8.42871
3,3,100,9570,47.4192,8.42872
13,40,55,9525,47.4187,8.42904
13,40,75,9535,47.419,8.42904
13,40,70,9500,47.4187,8.42937
13,40,90,9515,47.419,8.42937
13,40,90,9480,47.4187,8.4297
13,40,105,9490,47.4189,8.4297
33,75,200,8290,47.3928,8.43253
35,105,205,8295,47.3931,8.43254
35,105,210,8300,47.3933,8.43254
35,105,220,8305,47.3935,8.43254
35,105,235,8310,47.3937,8.43255
35,151,250,8315,47.394,8.43255
35,105,230,8270,47.3931,8.43287
35,105,235,8275,47.3933,8.43287
35,105,245,8280,47.3935,8.43287
35,105,255,8285,47.3937,8.43288
35,151,270,8290,47.394,8.43288
35,105,260,8250,47.3933,8.4332
35,105,265,8255,47.3935,8.43321
0,0,475,8235,47.4188,8.44892
0,0,430,8175,47.4181,8.44924
0,0,450,8190,47.4183,8.44924
0,0,470,8200,47.4186,8.44925
0,0,490,8215,47.4188,8.44925
0,0,510,8230,47.419,8.44925
0,0,530,8245,47.4192,8.44926
0,0,545,8220,47.4192,8.44959
0,0,565,8235,47.4195,8.44959
0,0,505,8195,47.4188,8.44958
0,0,525,8210,47.419,8.44958
19,48,205,9385,47.4214,8.4334
19,48,200,9360,47.4214,8.43373
36,65,255,4020,47.4226,8.59644
36,65,245,4005,47.4228,8.59644
36,65,250,4055,47.4223,8.59676
36,65,235,4040,47.4226,8.59677
36,65,220,4020,47.4228,8.59677
13,33,110,2815,47.4273,8.57765
13,33,125,2795,47.4275,8.57766
42,92,90,2480,47.4285,8.56873
12,42,105,2455,47.4287,8.56874
42,92,70,2485,47.4285,8.56906
12,42,90,2460,47.4287,8.56907
3,3,270,4650,47.4123,8.58793
3,3,250,4625,47.4125,8.58794
3,3,275,4660,47.4123,8.58826
3,3,265,4640,47.4125,8.58827
8,24,635,4850,47.3782,8.60441
36,76,110,1610,47.3645,8.53295
36,76,125,1585,47.3647,8.53296
36,76,130,1600,47.3645,8.53328
36,76,145,1580,47.3647,8.53329
15,24,155,1595,47.3645,8.53361
15,24,165,1570,47.3647,8.53362
15,24,145,1545,47.3649,8.53362
15,24,145,1590,47.3645,8.53394
15,24,165,1565,47.3647,8.53395
15,24,160,1540,47.3649,8.53395
15,24,130,1580,47.3645,8.53428
15,24,155,1555,47.3647,8.53428
15,24,175,1535,47.3649,8.53428
148,349,175,1135,47.3799,8.52532
80,149,340,2355,47.3993,8.5383
80,121,75,860,47.3707,8.54334
80,121,75,865,47.3707,8.54367
58,103,165,3685,47.3669,8.49427
58,103,155,3660,47.3669,8.49461
58,103,130,3650,47.3671,8.49461
58,103,150,3645,47.3666,8.49493
58,103,150,3640,47.3669,8.49494
58,103,125,3630,47.3671,8.49494
0,6,130,3615,47.3669,8.49527
0,6,125,3605,47.3671,8.49527
0,6,125,3580,47.3671,8.4956
84,134,165,1800,47.3661,8.55615
68,123,180,2990,47.3756,8.50074
68,123,175,2970,47.3754,8.50106
68,123,195,2965,47.3756,8.50107
68,123,175,2965,47.3758,8.50107
18,35,150,2945,47.3751,8.50139
68,123,175,2945,47.3754,8.50139
68,123,200,2940,47.3756,8.5014
68,123,195,2940,47.3758,8.5014
18,35,155,2920,47.3751,8.50172
68,123,180,2920,47.3754,8.50173
68,123,205,2915,47.3756,8.50173
68,123,215,2915,47.3758,8.50173
68,123,200,2910,47.376,8.50174
93,159,165,2895,47.3751,8.50205
0,0,190,2895,47.3754,8.50206
0,0,210,2890,47.3756,8.50206
0,0,235,2890,47.3758,8.50206
0,0,220,2885,47.376,8.50207
0,0,210,2885,47.3763,8.50207
0,0,245,2860,47.376,8.5024
0,0,235,2860,47.3763,8.50241
106,188,100,1890,47.39,8.52222
106,188,75,1905,47.3902,8.52222
12,23,50,1925,47.3905,8.52223
95,165,175,1820,47.3893,8.52253
106,188,150,1835,47.3896,8.52254
106,188,125,1855,47.3898,8.52254
106,188,75,1890,47.3902,8.52255
12,23,55,1905,47.3905,8.52256
12,23,35,1925,47.3907,8.52256
106,188,155,1820,47.3896,8.52287
106,188,130,1835,47.3898,8.52287
106,188,90,1870,47.3902,8.52288
12,23,70,1890,47.3905,8.52289
12,23,55,1905,47.3907,8.52289
106,188,125,1835,47.39,8.52321
106,188,105,1855,47.3902,8.52321
75,157,230,1675,47.3932,8.54182
0,0,530,4680,47.3762,8.47824
0,0,505,4655,47.3762,8.47857
5,16,490,4630,47.3765,8.4789
5,16,460,4605,47.3767,8.47924
74,142,235,4065,47.384,8.487
25,69,100,2055,47.3609,8.53023
25,69,90,2020,47.3611,8.53057
7,12,70,2015,47.3611,8.5309
7,12,55,2005,47.3611,8.53123
7,12,75,1980,47.3614,8.53123
40,94,70,3745,47.4204,8.5394
40,94,90,3720,47.4207,8.53941
69,188,210,4060,47.4152,8.54758
47,97,230,4080,47.415,8.5479
47,97,230,4055,47.4152,8.54791
47,97,225,4095,47.4147,8.54823
47,97,225,4070,47.4149,8.54823
47,97,230,4050,47.4152,8.54824
42,85,235,4025,47.4154,8.54824
47,97,205,4040,47.4152,8.54857
55,91,100,1855,47.3945,8.54516
72,136,125,1880,47.3947,8.54516
24,60,140,1275,47.3875,8.54998
24,60,160,1295,47.3877,8.54998
49,103,75,7570,47.4116,8.45276
49,103,75,7550,47.4115,8.45309
35,78,130,6470,47.3971,8.45911
37,75,75,3195,47.4234,8.57724
37,75,100,3175,47.4237,8.57724
37,75,70,3230,47.4232,8.57757
37,75,90,3205,47.4234,8.57757
0,0,75,3285,47.4228,8.57789
0,0,75,3260,47.423,8.57789
37,75,90,3240,47.4232,8.5779
0,0,100,3295,47.4228,8.57822
0,0,100,3270,47.423,8.57822
0,0,125,3305,47.4227,8.57855
30,53,250,7525,47.4269,8.46862
30,53,225,7490,47.4272,8.46896
13,31,400,4185,47.3853,8.59463
0,0,375,4210,47.3853,8.59496
54,92,100,3095,47.4034,8.5576
66,137,125,1380,47.3899,8.53414
62,117,125,1500,47.3916,8.54046
74,170,150,1500,47.3916,8.54079
107,243,70,3700,47.3784,8.49119
107,243,55,3700,47.3786,8.4912
