company_name,company_address,company_ltd,company_lng,company_verified,company_coordinates
Renos Relax Sauna Club,"Kernstrasse 57, Zurich",47.3781026,8.5260645,  Verified,"47 22m 41.0354s N, 8 31m 33.4664s E"
Thaler Eva (-Eggimann),"Schaffhauserstrasse 333, P.O. Box: 8050, Zurich",,,,
Swiss Security Solutions Ltd.,"Schaffhauserstrasse 550., Zurich",47.4241387967423,8.55308454553835,  Verified,"47 25m 25.8557s N, 8 33m 8.82648s E"
Teppichportal.ch,"Schindlerstrasse 4, Zurich",47.3926407085388,8.52182865142822,  Verified,"47 23m 18.1338s N, 8 32m 12.4058s E"
Expo Exhibition Stands,"Steinackerstrasse 3, CH-8302 Kloten, Zurich",47.450459,8.594,  Verified,"47 27m 1.5876s N, 8 35m 38.4352s E"
Salsa People Dance School & Entertainment,"Meierwiesenstrasse, 54-56, Zurich",47.384909558183,8.54624182543944,  Verified,"47 23m 40.799s N, 8 29m 26.8638s E"
Mion Hypnose Zürich Enge,"Breitingerstrasse 21, 8002 Zürich, Zurich",47.362209,8.53304,  Verified,"47 21m 44.0082s N, 8 31m 58.7323s E"
Salsa People Dance Studio & Entertainment,"Meierwiesenstrasse 54-56, Zurich",47.39556,8.49109,  Verified,"47 23m 40.799s N, 8 29m 26.8638s E"
Vietnam-Rundreisen,"Mirango Travel Freilagerstrasse 101, 8047 Zurich, Zurich",47.38098,8.48778,  Verified,
Parkplatz Online-Parkplatz in Zürich-Oerlikon,"Binzmühlestrasse 180, 8050 Zürich-Oerlikon , Zurich",47.41419,8.53397,  Verified,"47 24m 49.6559s N, 8 32m 46.7948s E"
Sunnhale Turbenthal,"Tösstalstrasse 62, Zurich",47.3771011195732,8.5416028048935,  Verified,"47 29m 40.1165s N, 8 44m 19.3035s E"
Grit International GmbH,"Europaallee 35, Zurich",47.3790080180895,8.53190930151368,  Verified,"47 22m 43.6631s N, 8 31m 56.9071s E"
