geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,formatted_address,name,rating,search_name,search_postal_code
47.37028842989272,8.542742129892721,"Fraumünsterstrasse 16, 8001 Zürich, Switzerland",LIDL SWITZERLAND,4.4,LIDL, 8001
47.36303312989272,8.516097029892721,"Grubenstrasse 28, 8045 Zürich, Switzerland",LIDL SCHWEIZ,4.1,LIDL, 8002
47.39353982989272,8.516620829892721,"Förrlibuckstrasse 62, 8005 Zürich, Switzerland",LIDL SCHWEIZ,4.3,LIDL, 8002
47.41177822989273,8.54718792989272,"Ohmstrasse 11, 8050 Zürich, Switzerland",LIDL SCHWEIZ,4.1,LIDL, 8002
47.41192422989272,8.543998279892723,"Hofwiesenstrasse 350, 8050 Zürich, Switzerland",LIDL SCHWEIZ,3.9,LIDL, 8002
47.40902792989272,8.58640797989272,"Ueberlandstrasse 381, 8051 Zürich, Switzerland",LIDL,4.1,LIDL, 8002
47.42382932989272,8.500618079892723,"Wehntalerstrasse 625, 8046 Zürich, Switzerland",LIDL SCHWEIZ,4.2,LIDL, 8002
47.40084197989273,8.434018979892722,"Reitmenstrasse 5, 8952 Schlieren, Switzerland",LIDL,4.1,LIDL, 8002
47.41364382989272,8.61493142989272,"Neue Winterthurerstrasse 2, 8304 Wallisellen, Switzerland",LIDL,4.1,LIDL, 8002
47.45612667989271,8.58068627989272,"Schaffhauserstrasse 165, 8302 Kloten, Switzerland",LIDL,4.1,LIDL, 8002
47.28438557989273,8.545178479892721,"Gattikonerstrasse 135, 8136 Gattikon, Switzerland",LIDL,4.2,LIDL, 8002
47.44549472989272,8.466607979892721,"Adlikerstrasse 295, 8105 Regensdorf, Switzerland",LIDL,4.2,LIDL, 8002
47.39675577989272,8.639727829892722,"Im Schörli 20, 8600 Dübendorf, Switzerland",LIDL,4.1,LIDL, 8002
47.41185287989272,8.405608129892721,"Rapidpl. 5, 8953 Dietikon, Switzerland",LIDL SCHWEIZ,4.1,LIDL, 8003
47.36952577989273,8.380600979892721,"Alte Bremgartenstrasse 10b, 8964 Rudolfstetten-Friedlisberg, Switzerland",LIDL,4.4,LIDL, 8003
47.38049682989272,8.678866379892721,"Müllerenstrasse 5, 8604 Volketswil, Switzerland",LIDL SCHWEIZ,4.2,LIDL, 8003
47.42219402989272,8.36974405,"Zentrumsstrasse, 8957 Spreitenbach, Switzerland",LIDL,3.8,LIDL, 8003
47.27942392989273,8.454496779892724,"Centralweg 3, 8910 Affoltern am Albis, Switzerland",LIDL SCHWEIZ,4.1,LIDL, 8003
47.47673127989273,8.50820987989272,"Lägernstrasse 4, 8154 Oberglatt, Switzerland",LIDL,4.3,LIDL, 8003
