,address_shop,name_shop,rating_shop,lat_shop,lng_shop,supermarket_brand
0,"Fraumünsterstrasse 16, 8001 Zürich, Switzerland",LIDL Switzerland,4.4,47.3687699,8.541178,Lidl
1,"Grubenstrasse 28, 8045 Zürich, Switzerland",Lidl Schweiz,4.1,47.361768700000006,8.51472,Lidl
2,"Förrlibuckstrasse 62, 8005 Zürich, Switzerland",Lidl Schweiz,4.3,47.3924813,8.5156983,Lidl
3,"Ohmstrasse 11, 8050 Zürich, Switzerland",Lidl Schweiz,4.1,47.410451200000004,8.545717100000001,Lidl
4,"Hofwiesenstrasse 350, 8050 Zürich, Switzerland",Lidl Schweiz,3.9,47.4104947,8.542732699999998,Lidl
5,"Ueberlandstrasse 381, 8051 Zürich, Switzerland",Lidl,4.1,47.4078098,8.585127199999999,Lidl
6,"Wehntalerstrasse 625, 8046 Zürich, Switzerland",Lidl Schweiz,4.2,47.4223919,8.499159599999999,Lidl
7,"Reitmenstrasse 5, 8952 Schlieren, Switzerland",Lidl,4.1,47.3992852,8.432505800000001,Lidl
8,"Neue Winterthurerstrasse 2, 8304 Wallisellen, Switzerland",Lidl,4.1,47.41237719999999,8.613654499999999,Lidl
9,"Schaffhauserstrasse 165, 8302 Kloten, Switzerland",Lidl,4.1,47.45470330000001,8.579192899999999,Lidl
10,"Gattikonerstrasse 135, 8136 Gattikon, Switzerland",Lidl,4.2,47.282953799999994,8.5439618,Lidl
11,"Adlikerstrasse 295, 8105 Regensdorf, Switzerland",Lidl,4.2,47.4443098,8.465036399999999,Lidl
12,"Im Schörli 20, 8600 Dübendorf, Switzerland",Lidl,4.1,47.395218,8.638226600000001,Lidl
13,"Zweierstrasse 129, 8003 Zürich, Switzerland",Dürr A. & CO AG,0.0,47.370880299999996,8.5200731,Lidl
14,"Rapidpl. 5, 8953 Dietikon, Switzerland",Lidl Schweiz,4.1,47.4103875,8.404201800000001,Lidl
15,"Zentrumsstrasse, 8957 Spreitenbach, Switzerland",Lidl,3.8,47.4209227,8.368998099999999,Lidl
16,"Feldstrasse 89, 8180 Bülach, Switzerland",Lidl Schweiz,4.2,47.509353000000004,8.540894300000001,Lidl
17,"Centralweg 3, 8910 Affoltern am Albis, Switzerland",Lidl Schweiz,4.1,47.278006899999994,8.4530301,Lidl
18,"Lägernstrasse 4, 8154 Oberglatt, Switzerland",Lidl,4.3,47.4753271,8.507048199999998,Lidl
19,"Alte Bremgartenstrasse 10b, 8964 Rudolfstetten-Friedlisberg, Switzerland",Lidl,4.4,47.368204399999996,8.3796458,Lidl
20,"Badenerstrasse 565, 8048 Zürich, Switzerland",ALDI Zürich,4.2,47.3837812,8.497584800000002,Lidl
21,"Müllerenstrasse 5, 8604 Volketswil, Switzerland",Lidl Schweiz,4.2,47.3791386,8.677350099999998,Lidl
22,"Gaswerkstrasse 2, 8952 Zürich, Switzerland",Lidl Schweiz,4.4,47.392161200000004,8.515644300000002,Lidl
23,"Zollstrasse 58, 8005 Zürich, Switzerland",Aldi,4.3,47.3809072,8.533213400000001,Lidl
24,"Witikonerstrasse 279, 8053 Zürich, Switzerland",ALDI Zürich,4.3,47.3587468,8.585599400000001,Lidl
25,"Seestrasse 83 / 93, 8810 Horgen, Switzerland",Lidl Schweiz,4.2,47.2630694,8.591273600000001,Lidl
26,"Albisstrasse 81, 8038 Zürich, Switzerland",ALDI Zürich,4.4,47.34096659999999,8.530600699999999,Lidl
27,"Forchstrasse 140, 8032 Zürich, Switzerland",SPAR Supermarkt Zürich Forchstrasse,3.8,47.360411,8.563348999999999,Lidl
28,"Steinacherstrasse 147, 8820 Wädenswil, Switzerland",Lidl Schweiz,4.2,47.23688800000001,8.6361487,Lidl
29,"In der Au, 8400 Winterthur, Switzerland",Super Market Lidl,4.3,47.4860763,8.7043992,Lidl
30,"Aarauerstrasse 36, 5630 Muri, Switzerland",Lidl Schweiz,4.2,47.279566100000004,8.3359696,Lidl
31,"Hohlstrasse 473, 8048 Zürich, Switzerland",ALDI SUISSE,4.2,47.38824899999999,8.496713999999999,Lidl
32,"Schärenmoosstrasse 77, 8052 Zürich, Switzerland",ALDI SUISSE - Zurich,4.3,47.419469899999996,8.5567393,Lidl
33,"Binzmühlestrasse 102, 8050 Zürich, Switzerland",ALDI,4.2,47.4137869,8.539022000000001,Lidl
34,"Schützenhausstrasse 7, 8330 Pfäffikon, Switzerland",Lidl Schweiz,4.1,47.366017299999996,8.7706879,Lidl
35,"Baumackerstrasse 35, 8050 Zürich, Switzerland",ALDI Zürich,4.2,47.408905100000005,8.543592599999998,Lidl
36,"Sihlstrasse 3, 8001 Zürich, Switzerland",ALDI Zürich,4.0,47.373727,8.537652999999999,Aldi
37,"Ueberlandstrasse 441, 8051 Zürich, Switzerland",ALDI Zürich,4.1,47.405984499999995,8.5919026,Aldi
38,"Zollstrasse 58a, 8005 Zürich, Switzerland",Aldi 2,0.0,47.3808521,8.5333122,Aldi
39,"Zwirnereistrasse 7/9, 8304 Wallisellen, Switzerland",ALDI SUISSE AG,4.5,47.40446,8.6023031,Aldi
40,"Schaffhauserstrasse 134, 8152 Opfikon, Switzerland",ALDI,4.3,47.43881,8.572427000000001,Aldi
41,"Wagistrasse 20, 8952 Schlieren, Switzerland",ALDI Schlieren,4.2,47.3985329,8.459739299999999,Aldi
42,"Dorfpl. 14, 8126 Zumikon, Switzerland",ALDI Zumikon,4.4,47.33257070000001,8.623414499999999,Aldi
43,"Industriestrasse 31, 8305 Dietlikon, Switzerland",ALDI,4.1,47.4121821,8.619197699999999,Aldi
44,"Soodring 36, 8134 Adliswil, Switzerland",ALDI Adliswil,4.5,47.316117999999996,8.520560999999999,Aldi
45,"Im Schossacher 24, 8600 Dübendorf, Switzerland",ALDI Dübendorf,4.1,47.39280369999999,8.642413399999999,Aldi
46,"Feldstrasse 32, 8105 Regensdorf, Switzerland",ALDI Regensdorf,4.0,47.43839020000001,8.473007199999998,Aldi
47,"Goldschlägipl. 3, 8952 Schlieren, Switzerland",ALDI Schlieren,4.1,47.40016319999999,8.4416286,Aldi
48,"Hofwisenstrasse 42, 8153 Rümlang, Switzerland",ALDI Rümlang,4.2,47.450376,8.538058099999999,Aldi
49,"Zürcherstrasse 55, 8953 Dietikon, Switzerland",ALDI Dietikon,4.1,47.403130700000006,8.4061107,Aldi
50,"General-Wille-Strasse 144, 8706 Meilen, Switzerland",ALDI Meilen,4.3,47.277332799999996,8.6176021,Aldi
51,"Industriestrasse 5, 8910 Affoltern am Albis, Switzerland",ALDI Affoltern a. A.,4.0,47.2727245,8.4470147,Aldi
52,"Ruchwiesenstrasse 5, 8157 Dielsdorf, Switzerland",ALDI Dielsdorf,4.3,47.4819841,8.466312599999998,Aldi
53,"Bernstrasse 378, 8953 Dietikon, Switzerland",ALDI Dietikon,4.2,47.3855198,8.3957885,Aldi
54,"Niederdorfstrasse 88, 8001 Zürich, Switzerland",Denner Express,4.1,47.3762467,8.544138199999999,Denner
55,"Werdstrasse 36, 8004 Zürich, Switzerland",Denner Discount,4.2,47.3728511,8.5296261,Denner
56,"Uetlibergstrasse 102, 8045 Zürich, Switzerland",Denner Express,4.1,47.3618536,8.5177373,Denner
57,"Giesshübelstrasse 65, 8045 Zürich, Switzerland",Denner Discount,4.4,47.358222,8.517876,Denner
58,"Wengistrasse 7, 8004 Zürich, Switzerland",Denner Express,4.0,47.37488219999999,8.5234249,Denner
59,"Sihlhallenstrasse 5/7, 8004 Zürich, Switzerland",Denner Express,4.0,47.379543,8.527069000000001,Denner
60,"Etzelstrasse 6, 8038 Zürich, Switzerland",Denner Discount,4.2,47.3445223,8.530807699999999,Denner
