business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,supermarket_brand,price_level,permanently_closed
OPERATIONAL,"Fraumünsterstrasse 16, 8001 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,LIDL Switzerland,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103809717020657619812"">A Google User</a>'], 'photo_reference': 'Aap_uECBgF-5yQbjJ6KiXj7Foy-DFHVwIed998nKKgofcGpoDLj3dN7rhKaVnkUdz9R1GyPR0xW3PWKYjm-IQmLvo5flt0wbczgrabLR7S2fGG9fScEsohIXVO76qudoUc0ixx8TOElN4pQzyGutSrT1U0l4R17pf7iaqnyo16RB9j-QG2NZ', 'width': 960}]",ChIJ0REDgqqgmkcRWrTSmPTdg1Q,4.4,ChIJ0REDgqqgmkcRWrTSmPTdg1Q,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",1001,47.3687699,8.541178,47.37028842989272,8.542742129892721,47.36758877010728,8.540042470107277,True,9G9R+GF Zürich,8FVC9G9R+GF,"Coop, Zürich, 8064",,
OPERATIONAL,"Grubenstrasse 28, 8045 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115558733591305290487"">Richard Schöbel</a>'], 'photo_reference': 'Aap_uEAaipXtiUuRpWXI9y8MA9cIzm9JwcfhDzEiEXUa1acfRdV3uQdqXn1ECkg5QaaDxhJYAQRw4WCjvzDESQacCDHBTPVV8wPP5eGi4OKlCaJaBEUgulvAPMC2ylAOoibIhoO7P7u4aOf1q4oA6QiCj0vsGw48Nd2XW_u1WzkHYd2USa2s', 'width': 3024}]",ChIJbRRqLvMJkEcR_mqMiGkBWaw,4.1,ChIJbRRqLvMJkEcR_mqMiGkBWaw,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",735,47.3617687,8.51472,47.36303312989272,8.516097029892721,47.36033347010728,8.513397370107278,True,9G67+PV Zürich,8FVC9G67+PV,"Coop, Zürich, 8064",,
OPERATIONAL,"Förrlibuckstrasse 62, 8005 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 1928, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111487661406161188494"">A Google User</a>'], 'photo_reference': 'Aap_uEBC9mraWgOQ8dIhy820u5yKUXBo4JUn6yDhzBLDYQtzg86fI7JFOqrv_L9mi-3h9uoNF1JpS6dpd94a9bFXDp5P1S5ufovSjERwIqzl0AnPoeMvabuGKK5Ug8Lerc1LQ97lVFQ3Yf1Y24pdXNId9EVDe9W1aw7edMMfxT_8QVMInk2Z', 'width': 5000}]",ChIJyzfNMz8LkEcRQoUMrhNYjOA,4.3,ChIJyzfNMz8LkEcRQoUMrhNYjOA,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",92,47.3921787,8.515120999999999,47.39338852989273,8.516332179892721,47.39068887010728,8.513632520107278,True,9GR8+V2 Zürich,8FVC9GR8+V2,"Coop, Zürich, 8064",,
OPERATIONAL,"Ohmstrasse 11, 8050 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116860749213790491702"">A Google User</a>'], 'photo_reference': 'Aap_uEBBEQokjvdqv_mvcqTjY5f0xxSEEN72kcq7lii-VF-lSJO0ri_3WZhLdPQ2L5CTv7N-cEnjtw9UIaTEApIEHtOVKhjKpjxZfJTH6E4N_54xD5590_jFB93pdqrHuf_9nND22PHH3kZgu6WVqf4s4KmsB-fcC4_tYSPpD3LsSx42JSmH', 'width': 2336}]",ChIJU0W-noYKkEcRXJuSYfWbBR8,4.1,ChIJU0W-noYKkEcRXJuSYfWbBR8,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",899,47.4104512,8.5457171,47.41177822989273,8.54718792989272,47.40907857010728,8.544488270107276,True,CG6W+57 Zürich,8FVCCG6W+57,"Coop, Zürich, 8064",,
OPERATIONAL,"Hofwiesenstrasse 350, 8050 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116115855649790835612"">Predrag</a>'], 'photo_reference': 'Aap_uEBrkhIhMde5b4QtlRIwpAboxUf3_UNv7ARdjyhkdTQgxT1qgUtxSecw3OawXKPbeAc7TJgQNx_JbNEAI6DgPG3_YbOhqvC98IpAtfqJcNRmdbpoDjCcNXhHd9GRK6ZW129k2ZvY9uXFTmZGMiQ2JDbrsNwcM__oxC0_3sJWu4zJctT4', 'width': 4032}]",ChIJHa8zrMILkEcRN-g-c59BoPs,3.7,ChIJHa8zrMILkEcRN-g-c59BoPs,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",15,47.4104947,8.5427327,47.41192422989272,8.543998279892723,47.40922457010728,8.541298620107279,True,CG6V+53 Zürich,8FVCCG6V+53,"Coop, Zürich, 8064",,
OPERATIONAL,"Ueberlandstrasse 381, 8051 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106871465245330007342"">A Google User</a>'], 'photo_reference': 'Aap_uEAdP58r2sAXJrUhp-vHfGL_YQwXn_hW08hU92c7960yQxSCKZJ-Yx2h4zXuvHJOsMd0qD11msqwdBgA2uhw2OAanMmYTnGZfJv1vfixMGopEg532gRQML3ttw395w0mgZKgfTfCQUsGFokU4WkG5uVFfVHQdPS2fkqWYptFSz13ZXED', 'width': 4032}]",ChIJ_Ut8YlmgmkcRJF0zFEzklT8,4.1,ChIJ_Ut8YlmgmkcRJF0zFEzklT8,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",573,47.4078098,8.585127199999999,47.40902792989272,8.58640797989272,47.40632827010727,8.583708320107275,True,CH5P+43 Zürich,8FVCCH5P+43,"Coop, Zürich, 8064",,
OPERATIONAL,"Wehntalerstrasse 625, 8046 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 1939, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117285507141930782410"">A Google User</a>'], 'photo_reference': 'Aap_uEBa88MiVtqoHjwkOStdnYB-l3jSLgNtx3Ys1xHkJy11Gmot8cDJGgFb5YtyPOM-hGQypWb90phejwi5xsPpGdZ9BBGGycXPIJFm8tVJxIFqcp7OoiwpB9fH2IiILVOYvl5owjEjqWVS7C2ZKuM9I41qJC2D7W466hFrXqBpK06puVTm', 'width': 4769}]",ChIJseGe3eQLkEcR4zpsLTAFO8k,4.2,ChIJseGe3eQLkEcR4zpsLTAFO8k,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",83,47.4223919,8.4991596,47.42382932989272,8.500618079892723,47.42112967010728,8.497918420107279,True,CFCX+XM Zürich,8FVCCFCX+XM,"Coop, Zürich, 8064",,
OPERATIONAL,"Reitmenstrasse 5, 8952 Schlieren, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101483378087036779832"">Eduard Frei</a>'], 'photo_reference': 'Aap_uEDCJrYLoPkJeaejAL7qsxQF5ixIxgC6mZDI5DIOX35zKdf7PofTRuiZXo_33eqoPcvLJCMqTwjY0AMeHip-ZxxReCLsdobVxBk3OAYZMItAUjp9nYO7FftU116bab0HurRKjQBQMhWc4gQNcXOhahC8kcR7oB-sRb3R7DHAXQKdchWU', 'width': 4032}]",ChIJLWHT12sMkEcRmSuzLQv5y5k,4.1,ChIJLWHT12sMkEcRmSuzLQv5y5k,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",628,47.3992852,8.4325058,47.40084197989273,8.434018979892722,47.39814232010728,8.431319320107278,True,9CXM+P2 Schlieren,8FVC9CXM+P2,"Coop, Zürich, 8064",,
OPERATIONAL,"Neue Winterthurerstrasse 2, 8304 Wallisellen, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl,"[{'height': 655, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114886590311689326428"">Lidl Schweiz</a>'], 'photo_reference': 'Aap_uEAgHkMWIEY_0W3H32q0-GrDnXzAVwRypC-OOkdIbyhrGSe5PGv6jT7kSkxlSMsmADPS4TJ7h7iVEQ-m7SEz1_q6BgoMiRqDM4ioged4rufEbs0fYiAMTfZeTfUVAib1FxMViAUnqkSV4YDV0-DojjO4DCHHlUOd_dyCb_5m91Va0Iko', 'width': 960}]",ChIJK6o9b7ChmkcRPkyS4i6sGk0,4.1,ChIJK6o9b7ChmkcRPkyS4i6sGk0,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",667,47.41237719999999,8.613654499999999,47.41364382989272,8.61493142989272,47.41094417010727,8.612231770107277,True,CJ67+XF Wallisellen,8FVCCJ67+XF,"Coop, Zürich, 8064",,
OPERATIONAL,"Schaffhauserstrasse 165, 8302 Kloten, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115246850718386168680"">Georgios Ziogas</a>'], 'photo_reference': 'Aap_uEAdl3RoiSJr1RJ-iY7IWD3p_SLoIRWZqsCTT_lOtKmqHmO9v2OyxlhotR31o3osmG0EMZwWv-Jecvo2Xl4vZCtTijAx1wE107zDOGHYJWc7skUP4Mzo89VD1ecejzIs5Zd3BDx_EeZsUxP9T_0ZHfA_F16v8hzGvlooKNj1QcWMtidh', 'width': 2112}]",ChIJUcR7g--fmkcR-eAZgZ5IL-w,4.1,ChIJUcR7g--fmkcR-eAZgZ5IL-w,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",816,47.45470330000001,8.579192899999999,47.45612667989271,8.58068627989272,47.45342702010727,8.577986620107277,True,FH3H+VM Kloten,8FVCFH3H+VM,"Coop, Zürich, 8064",,
